Title,reviews,Looks,comfort,performance,fuel_eco,vfm
Fan of tata nexon ev,"I haven't buy this vehicle but I have watched the videos on YouTube and I'll so appreciate this car, It looks are too good and ride quality of the Tata Nexon is already so awesome....",5,5,5,5,5
Awesome best car,"The process was quick and the car is amazing, the design is futuristic and the performance is amazing. the range is good as its 465 km and the infotainment system is mouth watering.",5,5,5,5,5
Tata Nexon EV,"Real power on the same second acceleration given, not able to compare with any other cars. I have used like polo. The way it is designed is also amazing, a much better look both in interior and exterior.",5,5,5,5,3
Crazy car,It is a hatchback car but also it gives me a nice comfort feeling. The brake pedal and accelerator medals are made up of high-quality experience. The instrument cluster gives me a vast detail of my car.,5,5,5,5,5
Range is low,after full night 100 present charge its showing rang 200km in place of 230km and real time rang in sports mode with ac is 120km in 200km how we can expect 230km . we will check eco and normal.,4,3,1,1,1
Just Awesome Machine,"Funky looking compact machine, best for a city commute. Modern Interior With Perimum feel and MG Smart assistant is just the cherry on the cake. Leg room is a bit less but Overall Experience was awesome.",5,5,5,5,5
Excellent city commute EV,Very good car for city commute. Good fit & finish. Practically getting 190 km with ac. Best option for this budget. really fun to drive. No complaints till now. Driven 1400 km till now.,5,5,5,5,5
MG Comet - Design good but Engine Peformance poor - Ride Comfort is very poor,"Buying experience: Booked on the launch date got delivered in June 3rd. Driving Experience: Very very poor - Its purely an auto rickshaw , there is a too much noise coming . They copied the design from Chinese wuling. Batter is from TACO(tata) . Engine is local. Very poor engine. Too much noise while driving. Sales team says that's a feature to fool you around. Ola/TVS Jupiter scooters don't they produce noise while driving . Here MG Comet EV does double noise while driving, Please don't waste money in buying MG Products. Tata EV's are always best.",5,5,1,5,1
Superb car,"Everything is awesome in this car , exterior design could be more better. The interior design is a most attractive thing in this car. I love that. Driving is smooth and battery backup is also decent.",4,5,5,5,5
Value for money,"Purchased the car recently due to long-distance travel on a daily basis.. the car is value for money gives a good range of 200-210 kms..it is an economical mode of driving and has reduced my fuel expenses drastically..good car for two people as there a little less space on the rear seats.. but it is good if two people are commuting in city.. easy to park.. easy to drive .. the engine, pickup everything is satisfactory..",5,3,4,5,4
Not to be sold under car category,This shouldn't be sold in the car segment as it is a share auto. Why anyone would want a car where access and space in the rear seat are totally compromised and does not have boot space at all? It's not a car by any definition.,1,1,1,2,1
A car that is everyone's favorite car,This car is really unique we will suggest people to use this car because there is no bike in comparison to this car and it is a good resource for the middle-class family not only me everyone will like it thank you mg.,5,5,5,5,5
MG Comet EV Plush Review.,Best car in a driving experience and good body and small car which is more useful in cities and in traffics without pollution one of the best manufacturers from MG Motors. It looks like a toy car but is best in experience.,5,5,5,5,4
