,Region,2W,3W,4W,Bus,Chargers
0,Uttar Pradesh,9852,42881,458,197,207
1,Maharastra,38558,893,1895,186,317
2,Karnataka,32844,568,589,57,172
3,Tamil Nadu,25642,396,426,0,256
4,Gujarat,22359,254,423,22,228
5,Delhi,11756,5287,1578,186,72
6,Bihar,2388,10783,89,36,37
7,Assam,357,11547,42,0,20
8,Kerala,10345,308,578,0,131
9,Odisha,9540,253,89,0,18
10,Andhra Pradesh,14578,2587,524,0,266
11,Rajasthan,2387,1578,24,0,205
12,Madhya Pradesh,1789,1254,57,0,159
13,West Bengal,3547,3654,124,0,141
14,Telangana,4578,898,186,0,70
15,Chandigadh,1567,542,32,0,
16,Haryana,5782,2876,354,0,50
17,Meghalaya,856,566,18,0,40
18,Sikkim,525,425,12,0,29
19,Jammu & Kashmir,187,234,27,0,25
20,Chhattisgarh,259,964,34,0,25
21,Uttarakhand,954,1865,134,0,10
22,Puducherry,641,995,35,0,10
23,Himachal Pradesh,824,868,289,0,10
